Location,Type,Case,Longitude,Latitude,Log
54/56 Tuas View Square,Office,120,103.6271817,1.3019396,2.079181246
12 Kian Teck Crescent,Dorm,119,103.692329,1.333149,2.075546961
Melody Springs construction site,Construction site,117,103.851791,1.4282597,2.068185862
36&38 Kian Teck Drive,Office,115,103.6910854,1.3306215,2.06069784
9 Kian Teck Drive,Dorm,114,103.6938909,1.329752,2.056904851
24 Benoi Place,Dorm,109,103.680535,1.312839,2.037426498
4 Sungei Kadut Avenue,Office,109,103.7544869,1.4003684,2.037426498
33 Senoko Way,Dorm,106,103.813098,1.469388,2.025305865
Lingjack Dormitory,Dorm,104,103.8051414,1.4508314,2.017033339
182 Woodlands Industrial Park E5,Office,100,103.792989,1.451667,2
2 Tech Park Crescent,Dorm,97,103.628741,1.311325,1.986771734
3 Tuas View Circuit,Office,95,103.634575,1.294675,1.977723605
8 Tuas South Lane,Dorm,94,103.6401659,1.279821,1.973127854
5 tech park crescent,Office,92,103.630267,1.311459,1.963787827
53 Sungei Kadut Loop,Dorm,90,103.74327,1.410171,1.954242509
8 Sungei Kadut Loop,Office,90,103.7411354,1.4204408,1.954242509
33 Tuas View Walk 2,Dorm,89,103.6267473,1.2997012,1.949390007
Pesko Engineering Pte Ltd,Office,88,103.676341,1.3263814,1.944482672
63 Senoko Drive,Dorm,87,103.808397,1.46669,1.939519253
59 Sungei Kadut Loop,Office,86,103.7438509,1.4085378,1.934498451
9 Sungei Kadut Street 3,Dorm,86,103.747393,1.415791,1.934498451
20 Benoi Lane,Office,84,103.674211,1.305882,1.924279286
10 Kian Teck Crescent Dormitory,Dorm,83,103.691906,1.333171,1.919078092
Project Glory construction site (closed),Construction site,83,103.850119,1.284342,1.919078092
5 Kian Teck Crescent,Office,81,103.6900299,1.332047,1.908485019
8 Martin Place construction site,Construction site,81,103.8378606,1.2932638,1.908485019
19 Kian Teck Road,Dorm,78,103.6892587,1.3289024,1.892094603
6 Kian Teck Crescent,Dorm,78,103.690887,1.331925,1.892094603
40 Tuas View Square,Dorm,71,103.6286061,1.30071,1.851258349
29 Senoko South Road,Office,70,103.802719,1.454827,1.84509804
69 Tuas South Avenue 1,Dorm,70,103.627425,1.313352,1.84509804
23H Sungei Kadut Street 1,Dorm,68,103.7487999,1.4095386,1.832508913
34 Sungei Kadut Loop,Office,67,103.7429816,1.4147317,1.826074803
38 Tuas View Square,Dorm,66,103.6283826,1.3004065,1.819543936
9A Tech Park Crescent,Office,63,103.630765,1.3109915,1.799340549
10 Tagore Drive,Dorm,62,103.8275131,1.3877975,1.792391689
145 Tuas View Square,Dorm,62,103.6270561,1.3019247,1.792391689
3 Senoko Link,Office,62,103.796696,1.459271,1.792391689
60 Benoi Road,Dorm,60,103.6810883,1.3267533,1.77815125
Proptech Pte Ltd,Office,60,103.7983522,1.454737,1.77815125
16 Fan Yoong Road,Office,59,103.703681,1.332683,1.770852012
13 Kaki Bukit Road 4,Store and Mall,58,103.9114536,1.339073,1.763427994
31 Sungei Kadut Loop,Office,58,103.743463,1.415864,1.763427994
2 Kampong Ampat,Dorm,56,103.882932,1.332711,1.748188027
